order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1672286,10001,prior,1,0,16,
552741,10001,prior,2,1,15,30.0
1151086,10001,prior,3,0,11,20.0
350719,10001,prior,4,0,14,21.0
1600212,10001,prior,5,1,19,8.0
3260198,10001,prior,6,1,12,14.0
628540,10001,prior,7,6,1,26.0
3125853,10001,prior,8,0,18,1.0
396337,10001,prior,9,2,20,16.0
2720359,10001,prior,10,5,23,3.0
1293622,10001,prior,11,0,14,23.0
1307921,10001,prior,12,1,16,15.0
88169,10001,prior,13,0,0,6.0
2845153,10001,prior,14,1,18,8.0
2120332,10001,prior,15,0,19,6.0
3070286,10001,prior,16,0,16,7.0
114663,10001,prior,17,0,9,21.0
1634542,10001,prior,18,0,17,30.0
1854840,10001,prior,19,0,19,7.0
1855339,10001,prior,20,2,7,23.0
2496365,10001,prior,21,1,10,20.0
2230385,10001,prior,22,1,8,7.0
319287,10001,test,23,0,19,6.0
3306744,10002,prior,1,1,11,
449513,10002,prior,2,2,18,30.0
2222864,10002,prior,3,3,0,22.0
2144934,10002,prior,4,2,11,20.0
3207755,10002,prior,5,3,19,30.0
2691452,10002,prior,6,3,11,30.0
254272,10002,test,7,2,16,30.0
1678524,10003,prior,1,5,18,
957314,10003,prior,2,4,17,6.0
215402,10003,prior,3,0,13,3.0
2728953,10003,prior,4,5,16,5.0
1604702,10003,prior,5,5,19,7.0
1589347,10003,prior,6,5,14,14.0
2223020,10003,prior,7,5,16,7.0
410049,10003,prior,8,6,15,8.0
856758,10003,prior,9,1,13,23.0
869580,10003,prior,10,2,14,22.0
341786,10003,train,11,0,16,30.0
1968648,10004,prior,1,5,0,
2907393,10004,prior,2,6,10,1.0
1341498,10004,prior,3,4,16,26.0
321591,10004,prior,4,1,17,11.0
1195881,10004,prior,5,2,17,22.0
1952850,10004,prior,6,1,15,13.0
790620,10004,prior,7,2,16,22.0
1602660,10004,test,8,4,13,9.0
2819758,10005,prior,1,1,10,
2983876,10005,prior,2,2,11,22.0
1509924,10005,prior,3,4,16,23.0
3232771,10005,prior,4,1,17,11.0
2072032,10005,prior,5,4,14,24.0
142258,10005,prior,6,3,7,20.0
138452,10005,prior,7,2,8,20.0
2512844,10005,prior,8,1,9,20.0
1150210,10005,prior,9,1,10,14.0
128579,10005,prior,10,2,15,8.0
2004312,10005,prior,11,0,15,12.0
3263944,10005,prior,12,1,12,8.0
498202,10005,prior,13,5,9,11.0
653137,10005,prior,14,2,7,11.0
2334114,10005,prior,15,1,11,30.0
1921201,10005,prior,16,3,12,9.0
924667,10005,prior,17,1,12,19.0
3073390,10005,train,18,1,15,7.0
1198979,10006,prior,1,6,23,
628405,10006,prior,2,5,13,20.0
965507,10006,prior,3,2,16,18.0
13061,10006,train,4,4,11,30.0
566927,10007,prior,1,6,16,
88790,10007,prior,2,0,17,30.0
555328,10007,prior,3,3,22,24.0
951137,10007,prior,4,6,18,30.0
759719,10007,train,5,6,17,28.0
638764,10008,prior,1,1,12,
3183115,10008,prior,2,3,13,30.0
1155105,10008,prior,3,6,13,3.0
261493,10008,prior,4,2,17,10.0
1820576,10008,prior,5,0,17,5.0
2505314,10008,prior,6,4,9,18.0
677873,10008,prior,7,6,17,9.0
167466,10008,prior,8,4,19,19.0
1619807,10008,prior,9,2,10,12.0
796188,10008,prior,10,5,19,30.0
1148373,10008,prior,11,0,12,30.0
362088,10008,prior,12,6,15,30.0
3162664,10008,prior,13,4,15,30.0
1766627,10008,train,14,1,14,4.0
975606,10009,prior,1,4,14,
2918580,10009,prior,2,3,15,20.0
3005883,10009,prior,3,0,22,30.0
1197716,10009,prior,4,2,12,2.0
1271302,10009,prior,5,2,17,0.0
172599,10009,prior,6,2,8,30.0
810407,10009,prior,7,1,11,30.0
1576342,10009,prior,8,0,20,13.0
1968313,10009,prior,9,3,15,30.0
2991567,10009,train,10,4,18,8.0
2113843,10010,prior,1,4,17,
2731617,10010,prior,2,3,15,30.0
59441,10010,prior,3,0,13,18.0
414998,10010,prior,4,2,15,16.0
662126,10010,train,5,3,10,8.0
2923112,10011,prior,1,4,10,
3034942,10011,prior,2,5,12,8.0
322571,10011,prior,3,5,12,7.0
648600,10011,prior,4,5,18,7.0
2138340,10011,prior,5,6,16,8.0
698343,10011,prior,6,0,14,8.0
2643878,10011,prior,7,5,18,12.0
884444,10011,prior,8,0,10,9.0
2885354,10011,prior,9,0,11,7.0
746005,10011,prior,10,5,19,5.0
2140149,10011,prior,11,0,9,9.0
761037,10011,prior,12,6,16,13.0
3357589,10011,prior,13,6,13,14.0
1194922,10011,prior,14,1,19,16.0
