order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
620565,84001,prior,1,5,8,
744533,84001,prior,2,5,12,7.0
1391261,84001,prior,3,1,9,10.0
3178816,84001,prior,4,1,20,14.0
3186573,84001,prior,5,2,14,8.0
2331228,84001,prior,6,1,9,6.0
3000145,84001,prior,7,5,11,11.0
2589611,84001,prior,8,4,7,6.0
947836,84001,prior,9,2,3,5.0
388988,84001,prior,10,5,10,10.0
2437256,84001,prior,11,4,9,13.0
2193350,84001,prior,12,1,13,18.0
2369389,84001,prior,13,2,9,30.0
1736041,84001,prior,14,0,21,26.0
3179367,84001,prior,15,6,7,27.0
2549033,84001,prior,16,4,12,30.0
1937732,84001,prior,17,1,21,30.0
1677015,84001,test,18,3,13,16.0
3089576,84002,prior,1,5,14,
1854129,84002,prior,2,1,14,24.0
1722754,84002,prior,3,5,10,25.0
1660401,84002,prior,4,2,22,25.0
865518,84002,prior,5,6,2,18.0
3113544,84002,prior,6,5,9,20.0
3063012,84002,prior,7,4,9,27.0
1406794,84002,prior,8,3,10,30.0
2444283,84002,prior,9,6,9,30.0
1899809,84002,prior,10,5,12,27.0
2839476,84002,prior,11,6,9,15.0
844577,84002,prior,12,0,13,30.0
2387588,84002,prior,13,3,21,30.0
3246080,84002,train,14,1,22,19.0
2157493,84003,prior,1,4,16,
2777937,84003,prior,2,2,10,30.0
1756302,84003,prior,3,3,12,1.0
1355443,84003,prior,4,3,13,0.0
740129,84003,prior,5,4,9,30.0
2752407,84003,prior,6,3,16,6.0
2865967,84003,prior,7,2,12,20.0
2371308,84003,prior,8,1,10,30.0
2602738,84003,prior,9,0,20,6.0
321485,84003,prior,10,1,16,29.0
748485,84003,prior,11,1,20,28.0
2350596,84003,prior,12,1,9,14.0
601489,84003,prior,13,1,9,14.0
3299531,84003,test,14,4,18,30.0
2309322,84004,prior,1,0,13,
2232741,84004,prior,2,6,10,13.0
2625217,84004,prior,3,1,18,9.0
1487620,84004,prior,4,6,17,5.0
1174562,84004,prior,5,1,17,9.0
3047886,84004,prior,6,5,18,30.0
2312339,84004,prior,7,2,15,11.0
2885571,84004,prior,8,0,12,5.0
1628672,84004,prior,9,6,10,6.0
149414,84004,prior,10,6,19,0.0
2234404,84004,prior,11,6,20,0.0
1848066,84004,prior,12,0,16,15.0
2991514,84004,prior,13,5,10,5.0
159782,84004,prior,14,0,12,9.0
1068662,84004,prior,15,6,13,27.0
3301081,84004,prior,16,0,14,8.0
1024330,84004,prior,17,1,17,8.0
543549,84004,prior,18,6,15,5.0
3296181,84004,prior,19,6,12,7.0
654658,84004,prior,20,0,14,1.0
3251927,84004,prior,21,6,12,6.0
686479,84004,prior,22,0,17,8.0
119535,84004,prior,23,6,19,6.0
2714401,84004,prior,24,0,20,8.0
3024960,84004,prior,25,1,15,8.0
2405089,84004,prior,26,1,14,14.0
1041179,84004,prior,27,6,19,12.0
302914,84004,prior,28,0,15,8.0
2621357,84004,prior,29,6,20,6.0
