order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2936745,60001,prior,1,3,6,
295736,60001,prior,2,1,20,5.0
633664,60001,prior,3,6,12,12.0
922546,60001,prior,4,0,7,8.0
251443,60001,prior,5,6,13,6.0
967852,60001,prior,6,5,23,6.0
2900424,60001,prior,7,6,17,8.0
249581,60001,prior,8,0,8,8.0
1962984,60001,prior,9,1,8,8.0
2143742,60001,prior,10,6,12,5.0
2389024,60001,prior,11,6,14,7.0
2375084,60001,prior,12,6,13,7.0
309635,60001,prior,13,6,11,7.0
1244091,60001,prior,14,5,22,6.0
2977249,60001,prior,15,5,6,7.0
1623152,60001,prior,16,6,9,8.0
2636636,60001,prior,17,0,14,15.0
1618601,60001,prior,18,0,9,7.0
2227441,60001,prior,19,6,13,6.0
176671,60001,prior,20,6,8,7.0
3114986,60001,prior,21,6,7,7.0
3246682,60001,prior,22,6,8,7.0
954714,60001,prior,23,6,8,7.0
1472391,60001,prior,24,6,8,7.0
2072133,60001,prior,25,3,9,25.0
2427116,60001,prior,26,2,10,6.0
55901,60001,prior,27,0,20,5.0
367498,60001,prior,28,2,20,9.0
3057961,60001,prior,29,0,8,5.0
2539942,60001,prior,30,6,8,6.0
1340494,60001,prior,31,5,15,6.0
2813348,60001,prior,32,3,14,5.0
3237298,60001,prior,33,6,13,3.0
1721799,60001,prior,34,6,8,14.0
848611,60001,prior,35,0,12,8.0
2357835,60001,prior,36,0,8,7.0
2239854,60001,prior,37,1,14,8.0
412468,60001,prior,38,1,6,7.0
2442289,60001,prior,39,0,16,6.0
3228335,60001,prior,40,0,8,7.0
1527699,60001,prior,41,2,19,9.0
356786,60001,prior,42,1,12,27.0
2955573,60001,prior,43,0,11,6.0
2533426,60001,prior,44,0,15,14.0
253329,60001,train,45,0,17,7.0
512588,60002,prior,1,1,12,
2308353,60002,prior,2,3,6,9.0
1659658,60002,prior,3,6,7,3.0
1255850,60002,prior,4,6,18,0.0
2776132,60002,prior,5,0,8,1.0
1229017,60002,prior,6,0,17,0.0
2584992,60002,prior,7,1,18,1.0
174497,60002,train,8,3,16,2.0
3151505,60003,prior,1,5,14,
151237,60003,prior,2,1,16,3.0
2293688,60003,prior,3,6,16,26.0
1093820,60003,prior,4,2,10,30.0
2837763,60003,prior,5,0,16,19.0
418617,60003,prior,6,5,21,5.0
3323530,60003,prior,7,3,14,12.0
2022104,60003,prior,8,6,21,3.0
795056,60003,prior,9,3,15,11.0
736925,60003,prior,10,4,14,8.0
3232051,60003,prior,11,2,21,5.0
89783,60003,prior,12,1,21,13.0
3356436,60003,prior,13,1,11,7.0
928507,60003,prior,14,4,13,30.0
372194,60003,prior,15,3,23,30.0
2993373,60003,prior,16,0,16,4.0
255893,60003,prior,17,4,11,4.0
1281794,60003,prior,18,1,23,4.0
838144,60003,prior,19,4,16,10.0
1875699,60003,prior,20,2,21,12.0
321928,60003,prior,21,0,22,5.0
3075807,60003,prior,22,4,23,11.0
2494742,60003,prior,23,3,14,20.0
3010978,60003,prior,24,1,17,12.0
600817,60003,prior,25,3,15,9.0
588345,60003,test,26,3,8,7.0
2614119,60004,prior,1,2,15,
3056140,60004,prior,2,0,7,5.0
1359378,60004,prior,3,0,15,30.0
3154940,60004,prior,4,0,16,7.0
2858407,60004,prior,5,6,7,13.0
1399853,60004,prior,6,3,7,4.0
487172,60004,prior,7,3,18,7.0
1281059,60004,prior,8,6,7,10.0
3157493,60004,prior,9,3,10,4.0
1064293,60004,prior,10,0,17,4.0
2817468,60004,prior,11,1,18,8.0
690180,60004,prior,12,0,15,13.0
788008,60004,prior,13,0,16,7.0
1232186,60004,prior,14,3,14,10.0
2316341,60004,prior,15,0,11,11.0
2674078,60004,prior,16,3,9,10.0
1696808,60004,prior,17,1,8,19.0
528055,60004,prior,18,0,11,27.0
2210397,60004,prior,19,6,13,13.0
2813000,60004,prior,20,0,14,15.0
1007444,60004,prior,21,6,11,13.0
2126691,60004,prior,22,5,11,20.0
3167526,60004,prior,23,5,13,7.0
3295717,60004,prior,24,5,13,7.0
1261707,60004,test,25,1,7,10.0
2559652,60005,prior,1,0,10,
1796028,60005,prior,2,0,17,7.0
3275798,60005,prior,3,0,18,7.0
2122825,60005,prior,4,6,14,6.0
504034,60005,prior,5,6,9,7.0
593656,60005,prior,6,1,11,9.0
2573349,60005,prior,7,0,16,6.0
578092,60005,prior,8,1,12,8.0
1677020,60005,prior,9,0,11,6.0
2239226,60005,prior,10,0,17,7.0
315777,60005,prior,11,1,15,8.0
1214423,60005,train,12,5,9,30.0
200069,60006,prior,1,0,14,
1340732,60006,prior,2,0,11,14.0
3012205,60006,prior,3,4,14,11.0
1470392,60006,prior,4,2,15,19.0
3380735,60006,prior,5,6,17,30.0
2894433,60006,prior,6,0,10,30.0
1301275,60006,prior,7,0,11,0.0
1481346,60006,prior,8,1,10,30.0
3315498,60006,train,9,3,22,30.0
1572945,60007,prior,1,2,16,
3017108,60007,prior,2,0,10,30.0
643792,60007,prior,3,3,17,10.0
505858,60007,prior,4,1,16,30.0
1621985,60007,prior,5,6,17,30.0
2394183,60007,prior,6,6,16,28.0
2214202,60007,train,7,4,15,19.0
1026974,60008,prior,1,0,11,
1991143,60008,prior,2,3,9,30.0
2760852,60008,prior,3,3,14,30.0
2798188,60008,prior,4,1,18,12.0
2415707,60008,prior,5,0,11,13.0
2057866,60008,prior,6,0,19,30.0
