customer_id,customer_name,address,country_id,id_card,id_card_expiry_date
001700415139,天津庆银喜劳务服务有限公司,天津市河东区太阳城鲁山道金旭园30号楼501室,CHN,MA06BYGFX,20210406
001700389271,天津拍拍购网络科技有限公司,天津市北辰区天津北辰经济技术开发区高端园永进道88号商务中心8064室,CHN,MA06AH5G6,20200317
001610629920,海中信实业投资有限公司,,CHN,556876171,20210423
001610533514,杭州澳海控股有限公司,,CHN,91330100665212868G,20190402
001610707497,龙岩市新宇汽车销售服务有限公司,,CHN,754977889,20190129
001611032222,泰州远大投资集团有限公司,,CHN,91321283085075668Q,20210318
001700161168,余姚市哈罗贝贝国际幼儿园,,CHN,310580207,20191228
001610469044,武汉市鑫逸凡商贸有限公司,,CHN,669518549,20201022
001700111524,杭州科地房地产代理有限公司,,CHN,913301030793005908,20210817
001610910478,半岛融天（福建）贸易有限公司,,CHN,593481144,20190224
001610829256,海宁汇金国际贸易有限公司,,CHN,595774821,20200302
001610692597,元创实业（郑州）有限公司,,CHN,914101006999650329,20200301
001610824969,赤峰坤驰汽车销售服务有限公司,,CHN,91150402564172828X,20181226
001700270842,东莞市泽凯汽车贸易有限公司,,CHN,91441900MA4WNRE44W,20201105
001610845284,长春市宾悦经贸有限责任公司,,CHN,912201015933988189,20190304
001700116573,植瑞聚鑫14号12型投资基金,,CHN,SZ011666L,20190523
001610406233,济南市图书馆,,CHN,12370100493000008A,20200416
001610888516,青海金裕宝汽车销售有限公司,,CHN,661948739,20200324
001610965388,天津市北方人力资源管理顾问有限公司,,CHN,725714289,20191229
001610973185,石家庄弘丰行汽车销售服务有限公司,,CHN,57550252X,20200309
001610020897,群光电子(苏州)有限公司,,CHN,91320509730716860A,20190616
001610598797,浙江轻工联典当有限责任公司,,CHN,559670048,20181212
001700105197,北京世纪凯贸科技有限公司,,CHN,MA004EME1,20190625
001611047081,汉中益昌鼎鑫汽车销售服务有限公司,,CHN,081733408,20190915
001610777960,江西金涛工程有限公司,,CHN,705579569,20181217
001610244646,广州市番禺大石建筑工程有限公司,,CHN,191423056,20181221
001610859103,杭州帷盛科技有限公司,,CHN,691733085,20190510
001611025352,成都锦路建设工程有限公司,,CHN,674325362,20210706
001700184697,河南格维欣贸易有限公司,,CHN,MA3XF3M37,20200321
001700248895,巴彦淖尔市明源汽车销售服务有限公司,,CHN,MA0MXC0F2,20200916
001610725172,上海君元投资咨询有限公司,,CHN,9131010568733652XU,20190514
001700086874,青岛古珂商贸有限公司,,CHN,MA3C0G9G5,20190419
001700212155,上海塑浩电子商务有限公司,,CHN,342158684,20181201
001700160351,格林美（无锡）能源材料有限公司,,CHN,91320214571390698J,20201127
001610915378,姑苏区百木堂地板店,,CHN,SZ008968L,20190124
001610305868,浙江世界贸易中心有限公司,,CHN,609103683,20201230
001610095575,深圳市德正邦智能科技有限公司,,CHN,91440300715239859T,20190101
001700204856,深泽县尚德生物科技有限公司,,CHN,MA080UHF7,20190513
001610638937,衡水庞大赫峰汽车销售服务有限公司,,CHN,682767718,20201205
001610337458,浙江摄影出版社有限公司,,CHN,91330000470049298D,20200302
001610551215,呼和浩特市麦迪逊置业有限公司,,CHN,756668027,20210102
001610574928,重庆百炼钢商贸有限公司,,CHN,678669533,20200718
001610980977,内蒙古科尔沁牛业股份有限公司上海分公司,,CHN,690124720,20190920
001610983225,哈密市盈凯汽车销售服务有限公司,,CHN,91652201068816292J,20210430
001610819378,大连德豪光电科技有限公司,,CHN,550635270,20210503
001700132471,达州市隆顺道路养护有限公司,,CHN,MA62E3QA1,20190112
001610030655,必达福环保塑料型材(无锡)有限公司,,CHN,746849510,20200611
001700106782,青岛度工新型城镇化投资管理有限公司,,CHN,MA3C8MWP5,20210219
001700239358,吉林省新裕佳教学仪器设备有限公司,,CHN,MA146P556,20200809
001610831567,天津俊安房地产开发有限公司,,CHN,055261048,20210720
001611052590,美星国际贸易（香港）有限公司,,CHN,637507917,20200320
001700036050,盐城市大丰区华厦建材有限公司,,CHN,668355987,20190824
001610606743,嘉兴市徐氏针织有限公司,,CHN,74292224X,20190628
001611032743,深圳市完鼎智能科技有限公司,,CHN,91440300311614579C,20200526
001610444290,浙江江丰股份有限公司,,CHN,742941408,20190327
001610888103,韩都衣舍电子商务集团股份有限公司,,CHN,061173669,20210702
001700117076,温州兴通楼宇设备有限公司,,CHN,MA285LPG2,20210814
001700208399,陕西航天教育产业集团有限公司,,CHN,071289294,20201114
001610148660,川化股份有限公司,,CHN,91510000202285163Q,20210313
001700244757,安徽驰恒建筑劳务有限公司,,CHN,MA2MYGQEX,20190511
001610749185,杭州保利电梯导轨制造有限公司,,CHN,67062455X,20210315
001700145534,武汉市万科物业服务有限公司郑州分公司,,CHN,91410100071379142B,20190320
001611069635,南通大雅文化艺术发展有限公司,,CHN,323651959,20210819
001610647237,晋江市海华建材工贸有限公司,,CHN,91350582156473015G,20200609
001610166169,四川京锋电力工程有限公司,,CHN,737715983,20190102
001611032903,湖南泽峰投资置业发展有限公司,,CHN,395845007,20191028
001611020638,郑州晟道置业有限公司,,CHN,079448683,20201217
001610601420,永和流体智控股份有限公司,,CHN,753018512,20200411
001700291731,广州市嘉美纺织服装有限公司,,CHN,MA59R9FB1,20210304
001611042127,大庆联谊石化股份有限公司,,CHN,128246835,20190622
001632074091,杰克缝纫机股份有限公司,,CHN,91330000753954968D,20210106
001700211301,河南天蓬元企业管理有限公司,,CHN,MA40J8J78,20200213
001700232246,浙江金科汤姆猫网络科技有限公司,,CHN,91330604MA29B6NCX7,20210207
001610653942,重庆贝尔思登企业管理有限公司,,CHN,565603183,20191024
001700394863,平湖市智亿贸易有限公司,,CHN,MA2B9KFT7,20190617
001610170075,成都轨道交通集团有限公司,,CHN,765393408,20210304
001610980740,上海众盛文化传播有限公司,,CHN,91310115765960644U,20200724
001610859046,河南中富康数显有限公司,,CHN,592401616,20210101
001700441322,杭州市余杭区人大附中学校,,CHN,52330110MJ88652947,20210331
001700321449,安徽金运建筑工程有限公司,,CHN,91341500MA2MQAEE3D,20190125
001611006301,山东金融资产交易中心有限公司,,CHN,092662780,20200925
001632219635,山东鲁能贵和商贸有限公司,,CHN,613206036,20200815
001610343200,浙江绿城房屋置换有限公司,,CHN,757067506,20200127
001610660272,中天证券股份有限公司,,CHN,117562576,20210630
001610208419,北京奔驰汽车有限公司,,CHN,600003205,20190905
001610676642,嘉兴市荣达进出口有限公司,,CHN,913304007818300816,20210825
001610497612,廊坊华日家具股份有限公司,,CHN,236025132,20200806
001700365010,江西典玉建设工程有限公司,,CHN,91360106MA36XK424G,20210727
001610647276,华鑫期货有限公司,,CHN,91310000132110746J,20200610
001700416891,上海良峰油脂有限公司,,CHN,729489103,20200430
001700242125,达州市中申食品有限公司,,CHN,MA64YJXU4,20190113
001610209145,湖北省建工混凝土制品有限公司余家头分公司,,CHN,744780169,20200811
001610189712,西安白云汽车销售服务有限公司,,CHN,775948833,20191111
