order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
3320401,205001,prior,1,6,18,
2058272,205001,prior,2,0,17,30.0
2913276,205001,prior,3,0,17,0.0
611260,205001,prior,4,6,18,6.0
1146147,205001,train,5,6,22,21.0
918228,205002,prior,1,6,14,
802320,205002,prior,2,0,17,1.0
2502552,205002,prior,3,6,10,13.0
1902377,205002,prior,4,1,9,9.0
2871856,205002,test,5,6,13,5.0
2920161,205003,prior,1,1,13,
209206,205003,prior,2,3,1,16.0
1672066,205003,prior,3,0,18,30.0
3044696,205003,prior,4,2,19,23.0
1195719,205003,prior,5,3,15,30.0
1813223,205003,prior,6,5,12,30.0
89543,205003,prior,7,3,11,30.0
2816965,205003,prior,8,2,12,6.0
1378409,205003,prior,9,1,19,6.0
1248121,205003,test,10,0,13,20.0
555943,205004,prior,1,1,17,
2819369,205004,prior,2,0,14,27.0
3080818,205004,prior,3,0,15,14.0
1898751,205004,prior,4,2,16,16.0
207970,205004,prior,5,0,9,12.0
445827,205004,prior,6,0,15,21.0
3004624,205004,prior,7,3,10,30.0
3014269,205004,prior,8,0,14,11.0
1977872,205004,train,9,2,16,30.0
1981881,205005,prior,1,0,10,
1474757,205005,prior,2,0,10,7.0
2040335,205005,prior,3,2,9,2.0
1390053,205005,prior,4,0,9,5.0
308236,205005,prior,5,4,11,4.0
1755474,205005,prior,6,0,12,3.0
1172062,205005,prior,7,4,13,4.0
1428194,205005,train,8,6,13,2.0
1992720,205006,prior,1,0,15,
1143573,205006,prior,2,0,17,7.0
1737221,205006,prior,3,4,18,11.0
689475,205006,prior,4,6,14,2.0
25339,205006,prior,5,6,16,7.0
307383,205006,prior,6,0,11,1.0
1704940,205006,prior,7,2,19,9.0
1138732,205006,prior,8,1,20,6.0
1953711,205006,prior,9,6,15,5.0
431594,205006,prior,10,5,17,13.0
1062978,205006,prior,11,0,16,30.0
2950552,205006,prior,12,6,12,13.0
2869731,205006,prior,13,1,19,2.0
320545,205006,prior,14,2,20,1.0
2809805,205006,prior,15,5,17,10.0
2137665,205006,prior,16,2,18,4.0
84449,205006,prior,17,5,18,24.0
1874749,205006,prior,18,1,18,3.0
2934072,205006,prior,19,6,11,5.0
