order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
200553,117001,prior,1,2,20,
3252027,117001,prior,2,0,18,30.0
2683763,117001,prior,3,0,14,30.0
2027507,117001,train,4,4,16,25.0
557164,117002,prior,1,6,21,
536946,117002,prior,2,2,9,30.0
2148703,117002,prior,3,2,15,28.0
2439307,117002,prior,4,4,14,30.0
876521,117002,train,5,2,11,30.0
2219454,117003,prior,1,1,12,
2731826,117003,prior,2,0,22,30.0
574445,117003,prior,3,1,20,29.0
3015902,117003,prior,4,5,13,30.0
3290724,117003,prior,5,6,16,22.0
1649796,117003,prior,6,0,12,15.0
2909895,117003,prior,7,5,21,30.0
684600,117003,prior,8,3,10,12.0
526774,117003,prior,9,0,15,4.0
849525,117003,prior,10,3,22,3.0
1787994,117003,prior,11,5,14,30.0
2746612,117003,prior,12,5,11,21.0
2323000,117003,train,13,0,22,2.0
870278,117004,prior,1,0,20,
975662,117004,prior,2,0,11,7.0
1909598,117004,prior,3,1,16,30.0
2608746,117004,prior,4,1,20,30.0
2215700,117004,prior,5,0,9,20.0
2176677,117004,prior,6,0,22,21.0
3060082,117004,prior,7,0,9,28.0
2369177,117004,prior,8,4,20,30.0
1104842,117004,prior,9,1,17,4.0
2314154,117004,prior,10,0,11,30.0
2518311,117004,prior,11,0,22,28.0
94386,117004,prior,12,3,6,17.0
2503216,117004,prior,13,5,6,30.0
967026,117004,prior,14,4,16,30.0
158276,117004,train,15,5,6,22.0
2916757,117005,prior,1,5,12,
3054743,117005,prior,2,0,14,2.0
811517,117005,prior,3,6,11,6.0
148809,117005,prior,4,6,17,14.0
1253824,117005,prior,5,4,18,19.0
1191355,117005,prior,6,5,16,29.0
1667942,117005,prior,7,5,10,7.0
2641951,117005,prior,8,5,10,7.0
1479189,117005,prior,9,5,13,14.0
2241921,117005,prior,10,5,13,21.0
214672,117005,prior,11,3,21,26.0
840674,117005,prior,12,5,13,9.0
1713999,117005,prior,13,4,15,6.0
1910725,117005,prior,14,3,15,6.0
3211778,117005,prior,15,0,15,11.0
111322,117005,prior,16,5,11,12.0
194183,117005,prior,17,6,15,8.0
1857608,117005,prior,18,6,14,7.0
2224833,117005,prior,19,5,9,6.0
2831283,117005,prior,20,5,13,7.0
1049439,117005,prior,21,5,16,0.0
1404215,117005,prior,22,4,19,6.0
2347342,117005,prior,23,5,12,8.0
927477,117005,prior,24,5,15,7.0
2355724,117005,prior,25,5,15,7.0
543890,117005,prior,26,6,17,8.0
2014522,117005,prior,27,5,19,6.0
3027077,117005,prior,28,6,9,8.0
2799781,117005,prior,29,5,16,6.0
594504,117005,prior,30,1,16,3.0
2431544,117005,prior,31,4,19,3.0
2389724,117005,prior,32,5,16,8.0
2992667,117005,prior,33,6,17,8.0
1526949,117005,prior,34,6,12,7.0
2727850,117005,prior,35,5,22,6.0
1280745,117005,prior,36,3,14,5.0
3018464,117005,prior,37,4,20,8.0
1683343,117005,train,38,2,13,5.0
3289281,117006,prior,1,3,12,
2381210,117006,prior,2,3,14,7.0
206631,117006,prior,3,4,12,8.0
110388,117006,prior,4,4,15,28.0
2797377,117006,prior,5,5,16,8.0
617545,117006,prior,6,1,14,17.0
1926768,117006,prior,7,3,8,9.0
825517,117006,prior,8,4,11,15.0
1835971,117006,prior,9,3,14,20.0
1297275,117006,prior,10,3,13,21.0
423741,117006,prior,11,2,8,27.0
2429911,117006,train,12,1,5,27.0
3403487,117007,prior,1,5,11,
653060,117007,prior,2,0,13,9.0
2555762,117007,prior,3,0,14,7.0
1738876,117007,test,4,0,13,7.0
916194,117008,prior,1,0,10,
3073544,117008,prior,2,0,12,7.0
517970,117008,prior,3,6,13,13.0
21631,117008,prior,4,2,8,17.0
2185159,117008,prior,5,6,9,30.0
361517,117008,train,6,6,15,30.0
612905,117009,prior,1,4,15,
489188,117009,prior,2,0,20,3.0
215253,117009,prior,3,6,15,6.0
1365713,117009,prior,4,4,15,5.0
1589734,117009,prior,5,1,17,4.0
3376989,117009,prior,6,5,21,4.0
3002985,117009,prior,7,2,9,4.0
2027881,117009,prior,8,0,10,5.0
3111983,117009,prior,9,4,8,4.0
672789,117009,prior,10,1,15,4.0
1285716,117009,prior,11,5,11,4.0
1118032,117009,prior,12,0,23,2.0
3027150,117009,prior,13,6,20,6.0
3420486,117009,prior,14,4,11,5.0
1842052,117009,prior,15,0,12,3.0
1301729,117009,prior,16,2,20,2.0
1432342,117009,prior,17,2,10,7.0
2025541,117009,prior,18,0,10,5.0
2831962,117009,prior,19,3,15,3.0
560451,117009,prior,20,0,17,4.0
3130658,117009,prior,21,0,11,7.0
1469749,117009,prior,22,0,9,7.0
2525088,117009,prior,23,6,16,6.0
774711,117009,prior,24,0,9,8.0
784231,117009,prior,25,0,23,7.0
200640,117009,prior,26,0,8,7.0
154211,117009,prior,27,3,9,3.0
221658,117009,prior,28,1,17,5.0
2677512,117009,prior,29,1,11,7.0
3044174,117009,prior,30,2,13,8.0
2062362,117009,prior,31,4,9,2.0
135573,117009,prior,32,0,14,3.0
1767524,117009,prior,33,5,16,12.0
1885027,117009,prior,34,6,19,8.0
1393691,117009,prior,35,0,6,8.0
3388176,117009,prior,36,1,7,8.0
3272188,117009,prior,37,6,13,12.0
547330,117009,prior,38,6,20,7.0
2395863,117009,prior,39,2,13,10.0
2512603,117009,prior,40,3,12,8.0
2995913,117009,prior,41,3,12,14.0
950980,117009,prior,42,6,14,3.0
2976068,117009,prior,43,1,11,9.0
2114325,117009,prior,44,0,7,13.0
3017200,117009,prior,45,0,14,7.0
1761709,117009,prior,46,4,17,4.0
1186931,117009,prior,47,5,17,8.0
2761543,117009,prior,48,5,22,7.0
2358335,117009,prior,49,0,9,9.0
3370949,117009,prior,50,1,12,8.0
544705,117009,prior,51,4,14,3.0
3074037,117009,prior,52,3,10,6.0
3034232,117009,prior,53,1,8,5.0
1902541,117009,prior,54,0,11,6.0
624949,117009,prior,55,6,10,6.0
1709879,117009,prior,56,6,18,7.0
643069,117009,prior,57,2,9,10.0
1090885,117009,prior,58,6,19,4.0
2740994,117009,test,59,0,19,8.0
3110885,117010,prior,1,4,18,
595938,117010,prior,2,2,13,12.0
2678483,117010,prior,3,1,16,13.0
1113770,117010,prior,4,3,15,23.0
669278,117010,prior,5,4,21,8.0
2091869,117010,prior,6,2,14,30.0
2145170,117010,prior,7,0,15,30.0
3013251,117010,prior,8,3,7,10.0
2399420,117010,prior,9,5,13,30.0
1966744,117010,prior,10,1,13,30.0
1474677,117010,test,11,2,19,30.0
2113429,117011,prior,1,1,16,
648451,117011,prior,2,4,18,3.0
1339962,117011,prior,3,5,15,1.0
2972378,117011,train,4,0,14,2.0
2670548,117012,prior,1,3,14,
1759714,117012,prior,2,0,21,4.0
3347331,117012,prior,3,0,16,7.0
1729715,117012,prior,4,0,12,30.0
338257,117012,prior,5,4,16,4.0
327593,117012,prior,6,0,20,3.0
489601,117012,test,7,1,21,8.0
2417085,117013,prior,1,0,13,
3040252,117013,prior,2,1,11,30.0
1374972,117013,prior,3,5,17,4.0
2564625,117013,prior,4,6,15,8.0
495498,117013,prior,5,5,12,6.0
1694157,117013,prior,6,1,15,3.0
2827549,117013,prior,7,3,15,16.0
903576,117013,prior,8,2,17,13.0
2593146,117013,prior,9,6,10,4.0
2084889,117013,prior,10,2,17,3.0
791695,117013,prior,11,0,14,5.0
3170527,117013,prior,12,3,10,3.0
565687,117013,prior,13,4,14,1.0
94433,117013,prior,14,3,20,27.0
2975119,117013,prior,15,6,10,10.0
1196506,117013,prior,16,0,8,1.0
779649,117013,prior,17,0,13,0.0
1436948,117013,prior,18,0,9,7.0
323962,117013,prior,19,2,16,2.0
1547522,117013,prior,20,0,18,5.0
1290169,117013,prior,21,2,17,9.0
2429757,117013,prior,22,2,16,7.0
1001248,117013,prior,23,6,15,4.0
864759,117013,prior,24,3,17,4.0
1778332,117013,prior,25,6,12,10.0
1033570,117013,prior,26,6,18,0.0
1364679,117013,prior,27,2,18,10.0
1488336,117013,prior,28,3,13,8.0
598798,117013,prior,29,0,11,4.0
1220427,117013,prior,30,4,11,4.0
2993815,117013,prior,31,2,9,5.0
2607217,117013,prior,32,2,16,7.0
1213547,117013,prior,33,4,6,2.0
3395440,117013,prior,34,5,21,8.0
1410202,117013,prior,35,6,12,1.0
1346898,117013,prior,36,0,16,1.0
2352769,117013,train,37,0,12,7.0
985117,117014,prior,1,6,20,
1395358,117014,prior,2,4,16,12.0
1090954,117014,prior,3,2,13,5.0
2354664,117014,prior,4,3,9,30.0
1206826,117014,prior,5,1,13,30.0
2319946,117014,prior,6,4,16,3.0
3106695,117014,test,7,1,17,30.0
3306087,117015,prior,1,3,14,
2229827,117015,prior,2,0,12,18.0
2752977,117015,prior,3,1,9,22.0
2516306,117015,prior,4,1,12,21.0
609431,117015,prior,5,5,13,11.0
274547,117015,prior,6,3,14,12.0
3038429,117015,prior,7,5,10,9.0
3268715,117015,prior,8,0,13,9.0
1138683,117015,prior,9,6,14,27.0
1953996,117015,prior,10,0,13,22.0
769447,117015,prior,11,0,14,7.0
2370887,117015,prior,12,2,13,16.0
3334781,117015,prior,13,1,12,30.0
2657492,117015,prior,14,5,13,25.0
456220,117015,prior,15,5,9,7.0
2992104,117015,prior,16,5,14,21.0
2207504,117015,test,17,0,11,30.0
3138626,117016,prior,1,5,15,
1524384,117016,prior,2,4,16,27.0
2739965,117016,prior,3,6,17,9.0
596746,117016,prior,4,5,16,6.0
1016821,117016,prior,5,5,19,7.0
1661528,117016,prior,6,4,17,20.0
2440495,117016,prior,7,4,13,30.0
2781605,117016,prior,8,6,14,23.0
256935,117016,test,9,2,16,17.0
1381339,117017,prior,1,1,20,
1783692,117017,prior,2,3,16,2.0
438505,117017,prior,3,5,19,30.0
3336051,117017,prior,4,1,14,30.0
1303968,117017,prior,5,2,17,8.0
2300795,117017,prior,6,6,13,30.0
2928340,117017,train,7,1,18,9.0
3233030,117018,prior,1,2,13,
907395,117018,prior,2,4,18,16.0
1313303,117018,prior,3,3,17,30.0
1228601,117018,prior,4,5,12,16.0
446621,117018,prior,5,3,9,30.0
361428,117018,prior,6,2,13,30.0
1963094,117018,prior,7,2,10,21.0
1572948,117018,prior,8,1,14,27.0
3295565,117018,prior,9,2,13,15.0
2232644,117018,prior,10,3,11,22.0
1359829,117018,prior,11,2,11,13.0
835760,117018,train,12,3,12,29.0
1959743,117019,prior,1,1,17,
837737,117019,prior,2,0,14,6.0
2522625,117019,prior,3,1,18,30.0
2332449,117019,prior,4,0,13,30.0
1552572,117019,train,5,0,13,30.0
2577080,117020,prior,1,6,14,
105435,117020,prior,2,6,15,7.0
1955208,117020,prior,3,6,13,30.0
2252339,117020,prior,4,6,18,30.0
341064,117020,train,5,1,14,9.0
2745075,117021,prior,1,1,17,
192727,117021,prior,2,5,10,30.0
3405796,117021,prior,3,1,15,3.0
2756866,117021,prior,4,3,13,2.0
78406,117021,prior,5,2,15,6.0
1961216,117021,prior,6,2,9,7.0
1125417,117021,prior,7,5,9,24.0
678730,117021,prior,8,3,14,30.0
1002310,117021,prior,9,4,15,1.0
1336426,117021,prior,10,5,12,1.0
383282,117021,prior,11,4,19,13.0
617367,117021,prior,12,5,12,22.0
2350999,117021,test,13,1,10,3.0
3398799,117022,prior,1,1,10,
1329761,117022,prior,2,2,14,29.0
622692,117022,prior,3,1,22,6.0
448330,117022,prior,4,2,20,8.0
959464,117022,prior,5,0,20,5.0
574837,117022,prior,6,2,22,16.0
1337652,117022,prior,7,1,11,6.0
696427,117022,prior,8,3,15,2.0
2915832,117022,prior,9,4,14,1.0
2390735,117022,prior,10,1,13,11.0
1831651,117022,test,11,0,20,20.0
2611230,117023,prior,1,5,14,
2469429,117023,prior,2,5,12,7.0
1706101,117023,prior,3,3,16,5.0
1278449,117023,prior,4,5,15,2.0
2361063,117023,prior,5,4,15,6.0
3045762,117023,prior,6,3,11,6.0
806081,117023,prior,7,4,17,1.0
361048,117023,prior,8,2,11,12.0
2736388,117023,prior,9,5,13,3.0
861778,117023,prior,10,3,10,5.0
1925548,117023,prior,11,3,12,0.0
473162,117023,prior,12,2,14,6.0
685961,117023,prior,13,2,16,0.0
2177016,117023,prior,14,2,12,7.0
2474373,117023,prior,15,3,9,8.0
30563,117023,prior,16,5,11,2.0
535107,117023,prior,17,3,10,5.0
1352156,117023,prior,18,2,12,6.0
2779565,117023,prior,19,2,13,7.0
619705,117023,prior,20,3,17,8.0
1441983,117023,prior,21,4,15,8.0
3181002,117023,prior,22,5,15,8.0
2578085,117023,prior,23,3,16,5.0
1278833,117023,prior,24,3,11,7.0
3180327,117023,prior,25,4,10,1.0
492399,117023,prior,26,1,9,4.0
854579,117023,prior,27,1,10,7.0
3005050,117023,prior,28,2,15,8.0
1259006,117023,prior,29,3,14,8.0
746214,117023,prior,30,2,10,13.0
2105818,117023,prior,31,1,11,13.0
1890102,117023,prior,32,2,16,1.0
402795,117023,prior,33,0,16,5.0
1678325,117023,prior,34,1,9,1.0
836499,117023,prior,35,3,16,2.0
2628022,117023,prior,36,4,9,15.0
760317,117023,prior,37,5,14,1.0
1330947,117023,prior,38,3,12,5.0
2033809,117023,prior,39,1,11,5.0
561361,117023,prior,40,4,9,3.0
343380,117023,prior,41,4,15,0.0
1579385,117023,prior,42,1,11,4.0
2481450,117023,prior,43,1,12,0.0
2601620,117023,prior,44,5,15,4.0
2510460,117023,prior,45,3,16,5.0
3120701,117023,prior,46,5,16,2.0
2083836,117023,prior,47,2,10,4.0
2979679,117023,prior,48,5,16,3.0
2195401,117023,prior,49,3,11,5.0
145972,117023,prior,50,4,11,1.0
450302,117023,prior,51,5,16,1.0
1616509,117023,prior,52,3,13,5.0
3143048,117023,prior,53,3,18,7.0
1941576,117023,prior,54,2,12,13.0
3231588,117023,prior,55,2,9,7.0
375549,117023,prior,56,1,12,6.0
2777753,117023,prior,57,1,16,0.0
1274262,117023,prior,58,1,9,7.0
3329534,117023,prior,59,5,14,4.0
1998320,117023,prior,60,2,16,11.0
730073,117023,prior,61,1,10,6.0
1530798,117023,prior,62,1,15,0.0
1771552,117023,prior,63,2,17,8.0
829316,117023,prior,64,1,16,13.0
680471,117023,prior,65,3,13,16.0
73064,117023,prior,66,3,17,7.0
2696312,117023,prior,67,3,15,7.0
2070411,117023,train,68,3,16,0.0
572644,117024,prior,1,1,14,
2595909,117024,prior,2,1,11,14.0
2987378,117024,prior,3,1,13,7.0
1781278,117024,prior,4,1,11,7.0
1852466,117024,prior,5,2,11,8.0
1694220,117024,prior,6,2,10,14.0
3040362,117024,train,7,1,13,30.0
901705,117025,prior,1,2,15,
2427031,117025,prior,2,0,15,19.0
1328549,117025,prior,3,0,16,30.0
170538,117025,prior,4,4,16,30.0
823953,117025,prior,5,0,14,3.0
2823802,117025,prior,6,2,9,2.0
2034923,117025,prior,7,1,18,30.0
952249,117025,prior,8,1,15,14.0
2988251,117025,prior,9,4,12,10.0
1899991,117025,prior,10,3,13,6.0
1196429,117025,prior,11,6,15,17.0
409075,117025,prior,12,2,20,30.0
1495023,117025,prior,13,0,13,12.0
1454622,117025,prior,14,6,14,30.0
3206200,117025,train,15,6,9,21.0
3189013,117026,prior,1,0,15,
2279911,117026,prior,2,1,18,29.0
2268841,117026,prior,3,3,19,9.0
2216656,117026,prior,4,6,15,10.0
1357920,117026,prior,5,6,14,7.0
437899,117026,prior,6,3,8,11.0
186588,117026,prior,7,2,19,20.0
2196145,117026,prior,8,5,11,3.0
1836211,117026,prior,9,6,11,22.0
18072,117026,prior,10,1,19,30.0
1806861,117026,train,11,0,18,30.0
2624478,117027,prior,1,1,13,
1109916,117027,prior,2,5,16,30.0
2043129,117027,prior,3,1,14,3.0
2044172,117027,prior,4,1,15,0.0
2971943,117027,prior,5,1,23,7.0
196604,117027,prior,6,0,14,6.0
2051734,117027,prior,7,0,12,7.0
1818701,117027,prior,8,5,10,5.0
2724179,117027,prior,9,0,14,2.0
1982288,117027,prior,10,2,16,2.0
908541,117027,prior,11,0,11,5.0
1006574,117027,prior,12,5,11,5.0
700610,117027,prior,13,0,11,2.0
3259483,117027,prior,14,0,13,7.0
946789,117027,prior,15,1,13,8.0
